job_id,tokens,tags,text
NET-F-001,"We are hiring a .NET Developer . The key skills required are C # ; VB.NET basics ; .NET Framework ; .NET Core fundamentals ; ASP.NET ; MVC ; HTML ; CSS ; JavaScript basics ; SQL Server ; Entity Framework basics ; LINQ ; Visual Studio ; Git ; Unit Testing basics . In this role , you will Assist in coding and debugging applications ; Learn and apply .NET Framework and Core fundamentals ; Support team in building ASP.NET MVC web applications ; Write basic SQL queries and work with Entity Framework ; Collaborate with peers to solve issues ; Participate in code reviews for learning ; Follow best practices in coding ; Work with version control ( Git ) .",O O O O B-JOB_TITLE I-JOB_TITLE O O O O O O B-SKILL I-SKILL O B-SKILL I-SKILL O B-SKILL I-SKILL O B-SKILL I-SKILL I-SKILL O B-SKILL O B-SKILL O B-SKILL O B-SKILL O B-SKILL I-SKILL O B-SKILL I-SKILL O B-SKILL I-SKILL I-SKILL O B-SKILL O B-SKILL I-SKILL O B-SKILL O B-SKILL I-SKILL I-SKILL O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,"We are hiring a .NET Developer. The key skills required are C#; VB.NET basics; .NET Framework; .NET Core fundamentals; ASP.NET; MVC; HTML; CSS; JavaScript basics; SQL Server; Entity Framework basics; LINQ; Visual Studio; Git; Unit Testing basics. In this role, you will Assist in coding and debugging applications; Learn and apply .NET Framework and Core fundamentals; Support team in building ASP.NET MVC web applications; Write basic SQL queries and work with Entity Framework; Collaborate with peers to solve issues; Participate in code reviews for learning; Follow best practices in coding; Work with version control (Git)."
NET-F-002,"We are hiring a .NET Developer . The key skills required are C # ; .NET Framework basics ; ASP.NET ; Razor ; HTML ; CSS ; JavaScript basics ; SQL Server ; Entity Framework basics ; NUnit basics . In this role , you will Write simple C # programs under guidance ; Support development of ASP.NET MVC applications ; Implement Razor views and front - end logic ; Assist in database query writing ; Participate in unit testing tasks ; Learn and apply LINQ for data operations ; Work with mentors for code corrections .",O O O O B-JOB_TITLE I-JOB_TITLE O O O O O O B-SKILL I-SKILL O B-SKILL I-SKILL I-SKILL O B-SKILL O B-SKILL O B-SKILL O B-SKILL O B-SKILL I-SKILL O B-SKILL I-SKILL O B-SKILL I-SKILL I-SKILL O B-SKILL I-SKILL O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,"We are hiring a .NET Developer. The key skills required are C#; .NET Framework basics; ASP.NET; Razor; HTML; CSS; JavaScript basics; SQL Server; Entity Framework basics; NUnit basics. In this role, you will Write simple C# programs under guidance; Support development of ASP.NET MVC applications; Implement Razor views and front-end logic; Assist in database query writing; Participate in unit testing tasks; Learn and apply LINQ for data operations; Work with mentors for code corrections."
NET-F-003,"We are hiring a .NET Developer . The key skills required are C # ; VB.NET basics ; .NET Core ; ASP.NET MVC ; HTML ; CSS ; JavaScript basics ; SQL Server ; Git . In this role , you will Contribute to development of small modules ; Assist in bug fixing and debugging ; Learn and implement MVC patterns ; Support database integration tasks ; Understand version control basics ; Work on minor testing scripts ; Follow coding standards .",O O O O B-JOB_TITLE I-JOB_TITLE O O O O O O B-SKILL I-SKILL O B-SKILL I-SKILL O B-SKILL I-SKILL O B-SKILL I-SKILL O B-SKILL O B-SKILL O B-SKILL I-SKILL O B-SKILL I-SKILL O B-SKILL O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,"We are hiring a .NET Developer. The key skills required are C#; VB.NET basics; .NET Core; ASP.NET MVC; HTML; CSS; JavaScript basics; SQL Server; Git. In this role, you will Contribute to development of small modules; Assist in bug fixing and debugging; Learn and implement MVC patterns; Support database integration tasks; Understand version control basics; Work on minor testing scripts; Follow coding standards."
NET-F-004,"We are hiring a .NET Developer . The key skills required are C # ; .NET Framework ; ASP.NET basics ; SQL Server ; HTML ; CSS ; LINQ ; Visual Studio . In this role , you will Support in software design documentation ; Assist senior developers in testing ; Create small UI components ; Debug and test applications ; Implement basic LINQ queries ; Participate in code maintenance .",O O O O B-JOB_TITLE I-JOB_TITLE O O O O O O B-SKILL I-SKILL O B-SKILL I-SKILL O B-SKILL I-SKILL O B-SKILL I-SKILL O B-SKILL O B-SKILL O B-SKILL O B-SKILL I-SKILL O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,"We are hiring a .NET Developer. The key skills required are C#; .NET Framework; ASP.NET basics; SQL Server; HTML; CSS; LINQ; Visual Studio. In this role, you will Support in software design documentation; Assist senior developers in testing; Create small UI components; Debug and test applications; Implement basic LINQ queries; Participate in code maintenance."
NET-F-005,"We are hiring a .NET Developer . The key skills required are C # ; ASP.NET ; MVC ; Entity Framework basics ; SQL Server ; HTML ; CSS ; JavaScript basics . In this role , you will Learn to design and build ASP.NET applications ; Assist in connecting apps to SQL Server ; Work on UI development ; Participate in daily standups ; Write small unit test cases .",O O O O B-JOB_TITLE I-JOB_TITLE O O O O O O B-SKILL I-SKILL O B-SKILL O B-SKILL O B-SKILL I-SKILL I-SKILL O B-SKILL I-SKILL O B-SKILL O B-SKILL O B-SKILL I-SKILL O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,"We are hiring a .NET Developer. The key skills required are C#; ASP.NET; MVC; Entity Framework basics; SQL Server; HTML; CSS; JavaScript basics. In this role, you will Learn to design and build ASP.NET applications; Assist in connecting apps to SQL Server; Work on UI development; Participate in daily standups; Write small unit test cases."
NET-F-006,"We are hiring a .NET Developer . The key skills required are C # ; .NET Framework ; ASP.NET ; Razor ; SQL Server ; Git ; NUnit basics . In this role , you will Assist in Razor page development ; Learn version control processes ; Perform debugging under supervision ; Support data access layer coding ; Contribute to testing efforts .",O O O O B-JOB_TITLE I-JOB_TITLE O O O O O O B-SKILL I-SKILL O B-SKILL I-SKILL O B-SKILL O B-SKILL O B-SKILL I-SKILL O B-SKILL O B-SKILL I-SKILL O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,"We are hiring a .NET Developer. The key skills required are C#; .NET Framework; ASP.NET; Razor; SQL Server; Git; NUnit basics. In this role, you will Assist in Razor page development; Learn version control processes; Perform debugging under supervision; Support data access layer coding; Contribute to testing efforts."
NET-F-007,"We are hiring a .NET Developer . The key skills required are C # ; VB.NET ; .NET Core basics ; ASP.NET MVC ; HTML ; CSS ; SQL Server ; Visual Studio . In this role , you will Support team in MVC project development ; Help in resolving minor bugs ; Write basic SQL queries ; Collaborate with developers for tasks ; Participate in project discussions .",O O O O B-JOB_TITLE I-JOB_TITLE O O O O O O B-SKILL I-SKILL O B-SKILL O B-SKILL I-SKILL I-SKILL O B-SKILL I-SKILL O B-SKILL O B-SKILL O B-SKILL I-SKILL O B-SKILL I-SKILL O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,"We are hiring a .NET Developer. The key skills required are C#; VB.NET; .NET Core basics; ASP.NET MVC; HTML; CSS; SQL Server; Visual Studio. In this role, you will Support team in MVC project development; Help in resolving minor bugs; Write basic SQL queries; Collaborate with developers for tasks; Participate in project discussions."
NET-F-008,"We are hiring a .NET Developer . The key skills required are C # ; .NET Framework basics ; ASP.NET MVC ; Entity Framework basics ; SQL Server ; LINQ . In this role , you will Assist in building backend modules ; Learn and apply Entity Framework ; Help in writing LINQ queries ; Support bug fixing ; Write basic documentation .",O O O O B-JOB_TITLE I-JOB_TITLE O O O O O O B-SKILL I-SKILL O B-SKILL I-SKILL I-SKILL O B-SKILL I-SKILL O B-SKILL I-SKILL I-SKILL O B-SKILL I-SKILL O B-SKILL O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,"We are hiring a .NET Developer. The key skills required are C#; .NET Framework basics; ASP.NET MVC; Entity Framework basics; SQL Server; LINQ. In this role, you will Assist in building backend modules; Learn and apply Entity Framework; Help in writing LINQ queries; Support bug fixing; Write basic documentation."
NET-F-009,"We are hiring a .NET Developer . The key skills required are C # ; .NET Framework ; ASP.NET ; HTML ; CSS ; SQL Server . In this role , you will Write simple ASP.NET pages ; Collaborate with design team ; Assist in database operations ; Perform code reviews with seniors ; Learn about MVC patterns .",O O O O B-JOB_TITLE I-JOB_TITLE O O O O O O B-SKILL I-SKILL O B-SKILL I-SKILL O B-SKILL O B-SKILL O B-SKILL O B-SKILL I-SKILL O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,"We are hiring a .NET Developer. The key skills required are C#; .NET Framework; ASP.NET; HTML; CSS; SQL Server. In this role, you will Write simple ASP.NET pages; Collaborate with design team; Assist in database operations; Perform code reviews with seniors; Learn about MVC patterns."
NET-F-010,"We are hiring a .NET Developer . The key skills required are C # ; ASP.NET MVC ; .NET Core basics ; Entity Framework basics ; SQL Server ; Git . In this role , you will Support new feature development ; Assist with application configuration ; Help in database schema setup ; Perform small unit testing tasks ; Follow agile methodology basics .",O O O O B-JOB_TITLE I-JOB_TITLE O O O O O O B-SKILL I-SKILL O B-SKILL I-SKILL O B-SKILL I-SKILL I-SKILL O B-SKILL I-SKILL I-SKILL O B-SKILL I-SKILL O B-SKILL O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,"We are hiring a .NET Developer. The key skills required are C#; ASP.NET MVC; .NET Core basics; Entity Framework basics; SQL Server; Git. In this role, you will Support new feature development; Assist with application configuration; Help in database schema setup; Perform small unit testing tasks; Follow agile methodology basics."
